seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
34,0.018,0.008,4,3,3.784,0.882,0.821,
231,1.299,0.009,48,27,42.755,0.879,0.826,
77,1.426,0.008,58,28,36.443,0.61,0.363,
117,0.065,0.007,28,16,24.856,0.863,0.806,
76,0.318,0.007,14,8,14.817,0.895,0.845,
87,6.422,0.008,78,46,46.831,0.414,0.116,
27,0.017,0.005,16,8,4.506,0.704,0.388,
280,78.969,0.007,210,120,159.689,0.621,0.457,
128,2.963,0.006,24,14,44.302,0.891,0.842,
65,0.081,0.004,36,18,36.543,0.723,0.591,
266,226.572,0.005,230,143,146.032,0.492,0.231,
26,0.006,0.002,8,4,6.052,0.846,0.786,
46,0.034,0.013,8,6,19.489,0.87,0.799,
121,0.235,0.013,32,20,23.639,0.785,0.684,
90,0.022,0.011,12,6,10.989,0.933,0.904,
68,0.015,0.009,12,8,13.138,0.882,0.823,
117,0.41,0.011,44,26,61.234,0.752,0.62,
136,0.113,0.01,14,10,16.641,0.926,0.891,
210,82.617,0.01,150,73,96.119,0.633,0.433,
280,116.592,0.009,210,127,132.62,0.611,0.422,
86,0.238,0.007,10,8,10.257,0.884,0.825,
14,0.009,0.004,10,6,2.15,0.571,0.411,
43,0.045,0.01,10,5,6.564,0.86,0.799,
33,0.004,0.004,14,8,11.218,0.758,0.65,
78,0.377,0.01,68,42,51.49,0.513,0.285,
61,0.015,0.009,22,14,14.951,0.77,0.653,
67,0.018,0.007,60,30,17.982,0.657,0.521,
169,2.31,0.007,72,43,61.551,0.763,0.662,
46,0.04,0.006,14,7,19.183,0.826,0.748,
50,0.107,0.005,16,10,25.322,0.8,0.685,
182,0.452,0.006,56,30,37.417,0.835,0.771,
38,0.008,0.003,8,6,7.969,0.842,0.766,
75,0.013,0.005,60,32,33.655,0.64,0.478,
73,0.805,0.003,26,16,20.335,0.781,0.68,
155,6.13,0.003,122,77,105.567,0.594,0.377,
49,0.005,0.005,4,2,8.267,0.959,0.94,
24,0.005,0.005,12,6,4.154,0.75,0.54,
104,0.923,0.011,18,10,11.254,0.904,0.859,
119,0.137,0.01,96,44,51.211,0.613,0.421,
104,0.178,0.008,8,6,15.757,0.942,0.914,
29,0.015,0.007,2,2,1.579,0.931,0.89,
123,0.631,0.007,34,21,35.607,0.821,0.744,
154,19.541,0.008,140,80,79.513,0.519,0.273,
102,0.051,0.005,20,13,35.148,0.863,0.801,
75,0.316,0.006,50,32,34.303,0.6,0.384,
120,0.77,0.006,26,18,30.292,0.817,0.731,
299,23.596,0.007,86,47,192.912,0.826,0.748,
102,2.386,0.006,38,20,38.524,0.804,0.736,
114,0.209,0.012,30,21,28.429,0.807,0.717,
23,0.004,0.004,0,0,0.139,1.0,1.0,
155,1.059,0.012,30,21,51.639,0.832,0.751,
76,1.097,0.011,66,41,32.531,0.513,0.317,
120,1.295,0.011,30,19,33.409,0.825,0.747,
33,0.007,0.006,2,2,4.136,0.939,0.906,
73,0.018,0.008,18,10,28.547,0.863,0.805,
34,0.011,0.006,4,3,3.777,0.882,0.821,
100,0.158,0.007,24,14,29.72,0.86,0.8,
29,0.01,0.006,2,2,7.07,0.931,0.896,
25,0.01,0.006,18,10,7.273,0.6,0.485,
280,84.792,0.007,204,113,144.31,0.611,0.452,
53,0.223,0.006,10,6,7.142,0.906,0.862,
35,0.01,0.005,4,2,16.404,0.943,0.912,
