seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
16,0.005,0.004,4,2,3.289,0.875,0.828,
116,0.128,0.011,16,8,17.967,0.931,0.9,
36,0.004,0.004,2,2,4.711,0.944,0.914,
192,3.299,0.011,68,40,51.083,0.792,0.698,
379,35.343,0.011,310,176,212.832,0.615,0.445,
284,5.301,0.011,200,112,138.744,0.697,0.56,
12,0.015,0.007,0,0,2.52,1.0,1.0,
258,65.141,0.01,276,147,147.545,0.601,0.399,
45,0.013,0.005,0,0,3.298,1.0,1.0,
36,0.008,0.004,8,6,6.461,0.833,0.743,
213,0.267,0.008,208,105,129.471,0.653,0.482,
67,0.02,0.006,0,0,0.137,1.0,1.0,
98,0.246,0.007,76,42,39.463,0.633,0.319,
30,0.025,0.006,14,6,8.179,0.8,0.663,
105,0.239,0.006,74,43,48.802,0.61,0.317,
105,0.864,0.006,90,46,52.779,0.59,0.339,
67,0.021,0.004,4,2,31.187,0.97,0.954,
104,0.638,0.004,66,33,34.059,0.769,0.652,
42,0.014,0.002,4,2,3.627,0.952,0.925,
105,0.269,0.012,44,22,23.835,0.867,0.8,
17,0.005,0.005,0,0,5.361,1.0,1.0,
104,0.105,0.011,14,10,19.34,0.904,0.848,
62,0.02,0.008,34,14,19.933,0.823,0.709,
26,0.005,0.004,4,2,8.957,0.923,0.891,
57,0.027,0.008,8,4,41.776,0.93,0.895,
378,470.236,0.01,344,172,217.511,0.677,0.547,
105,0.075,0.008,36,18,26.748,0.829,0.767,
31,0.013,0.004,0,0,8.297,1.0,1.0,
102,0.054,0.008,16,9,23.694,0.902,0.851,
122,1.378,0.009,60,33,53.072,0.721,0.61,
45,0.029,0.007,34,28,26.71,0.422,0.025,
96,0.041,0.006,8,5,11.437,0.938,0.9,
123,0.373,0.007,108,52,65.224,0.699,0.541,
151,0.181,0.006,68,34,61.751,0.828,0.74,
103,0.073,0.005,80,45,28.115,0.67,0.456,
316,18.999,0.005,142,76,134.354,0.794,0.687,
174,0.154,0.004,102,52,77.688,0.759,0.631,
38,0.012,0.002,26,13,15.454,0.605,0.416,
35,0.012,0.006,16,8,10.154,0.886,0.81,
116,1.4,0.011,92,50,40.554,0.621,0.421,
85,0.015,0.007,70,54,45.294,0.471,0.132,
63,0.012,0.006,28,13,19.333,0.81,0.66,
63,0.013,0.006,58,27,20.297,0.698,0.546,
97,0.452,0.009,80,38,43.713,0.691,0.53,
50,0.038,0.008,42,21,23.779,0.52,0.205,
102,3.848,0.011,64,32,39.737,0.804,0.698,
101,3.722,0.01,52,31,41.198,0.644,0.443,
105,1.048,0.008,36,22,33.036,0.752,0.626,
80,0.56,0.007,68,39,46.77,0.55,0.309,
400,1088.404,0.007,376,208,277.609,0.518,0.189,
92,0.189,0.004,106,51,28.424,0.663,0.491,
102,0.527,0.004,50,29,35.313,0.716,0.556,
387,1.485,0.005,32,18,150.695,0.953,0.93,
36,0.03,0.003,26,13,4.544,0.556,0.122,
111,0.534,0.004,52,26,13.264,0.874,0.81,
68,0.248,0.003,4,4,27.894,0.941,0.911,
105,2.221,0.005,32,20,30.494,0.752,0.63,
67,1.641,0.011,54,40,45.148,0.343,-0.002,
53,0.006,0.004,28,14,16.199,0.774,0.645,
400,0.651,0.009,470,238,175.226,0.622,0.441,
110,12.399,0.011,120,57,85.194,0.418,0.051,
40,0.03,0.007,22,14,19.157,0.625,0.454,
36,0.005,0.003,26,19,21.015,0.5,0.2,
61,0.909,0.008,64,34,58.397,0.443,0.287,
282,2344.447,0.011,190,99,132.746,0.77,0.654,
200,8.457,0.009,142,88,93.571,0.55,0.34,
184,3.786,0.008,136,90,105.662,0.462,0.208,
88,3.293,0.007,86,49,58.874,0.523,0.344,
73,0.112,0.004,12,8,15.681,0.89,0.838,
370,737.197,0.008,384,194,170.558,0.649,0.469,
380,122.076,0.007,324,208,158.836,0.429,0.256,
75,1.109,0.005,48,33,52.943,0.52,0.181,
393,677.597,0.007,416,208,220.798,0.725,0.586,
284,464.882,0.005,376,189,184.721,0.461,0.257,
101,2.321,0.003,50,33,39.65,0.663,0.504,
212,59.566,0.01,174,91,109.237,0.646,0.467,
214,0.982,0.008,272,137,84.103,0.659,0.485,
119,0.046,0.007,114,52,63.257,0.731,0.583,
104,2.862,0.007,90,57,53.664,0.567,0.356,
389,1669.98,0.01,492,253,322.704,0.517,0.324,
355,25.017,0.008,294,135,130.451,0.71,0.558,
97,0.363,0.006,66,34,48.098,0.649,0.471,
34,0.013,0.004,16,8,9.527,0.765,0.641,
97,6.1,0.006,68,48,47.341,0.433,0.131,
400,1164.126,0.009,110,76,99.494,0.815,0.724,
392,787.166,0.008,318,170,186.11,0.594,0.412,
100,8.847,0.005,84,44,44.902,0.48,0.193,
116,1.36,0.004,48,21,51.666,0.819,0.732,
389,107.677,0.006,318,176,202.691,0.576,0.365,
82,0.967,0.002,80,36,42.027,0.683,0.522,
358,453.842,0.004,342,203,184.18,0.45,0.165,
400,762.46,0.005,338,192,222.038,0.555,0.339,
202,73.593,0.003,212,116,105.463,0.569,0.361,
