seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
126,604.37,725.352,24,10,11.034,0.921,0.888,
109,604.635,725.616,8,4,5.392,0.963,0.946,
34,4.049,4.984,0,0,3.185,1.0,1.0,
231,604.09,725.065,12,6,36.681,0.974,0.961,
207,604.275,725.255,138,80,112.599,0.638,0.372,
206,603.783,829.944,48,28,122.739,0.893,0.843,
77,603.769,829.927,40,20,51.002,0.74,,
119,603.787,829.947,46,12,57.031,0.899,0.859,
117,49.614,68.254,8,4,13.915,0.966,0.95,
76,6.698,9.05,8,4,23.741,0.947,0.922,
87,603.966,764.03,34,14,46.133,0.839,0.741,
27,603.937,763.995,4,2,5.071,0.926,0.862,
280,604.0,764.064,126,69,130.521,0.736,0.536,
128,123.281,166.469,0,0,28.939,1.0,1.0,
65,603.855,763.886,8,4,31.771,0.938,0.9,
201,604.288,746.235,170,101,104.793,0.483,0.227,
96,604.227,746.167,8,4,4.078,0.958,0.939,
266,604.016,745.95,88,44,180.219,0.82,0.689,
68,604.245,746.191,12,6,8.979,0.912,0.867,
26,3.813,4.598,8,4,6.525,0.846,0.786,
46,603.873,799.772,4,2,15.381,0.957,0.933,
121,91.932,125.647,8,4,27.037,0.967,0.95,
63,603.792,799.678,38,10,12.878,0.841,0.767,
90,54.281,76.143,4,2,14.898,0.978,0.967,
64,603.838,799.737,10,2,36.869,0.969,0.952,
68,3.817,4.53,8,4,3.184,0.941,0.914,
117,603.882,831.15,16,8,67.579,0.932,0.894,
136,111.399,152.695,8,4,14.177,0.971,0.957,
75,603.842,831.102,20,8,18.243,0.893,0.84,
210,603.935,831.204,148,87,96.219,0.481,0.034,
319,603.901,719.061,260,163,168.336,0.398,0.088,
280,603.977,719.138,102,58,116.242,0.789,0.662,
70,603.732,718.883,12,2,17.078,0.971,0.957,
76,603.826,718.982,16,4,28.891,0.947,0.919,
86,603.626,718.759,8,4,4.098,0.953,0.932,
76,603.994,828.883,24,12,40.594,0.842,0.717,
256,604.005,828.894,72,35,133.268,0.891,0.828,
258,603.963,828.839,92,49,91.144,0.795,0.697,
14,603.902,828.768,2,2,5.334,0.857,0.754,
73,603.962,828.84,34,21,25.418,0.781,0.652,
43,4.139,5.248,6,4,7.382,0.907,0.863,
377,603.876,616.384,298,154,190.165,0.528,0.277,
33,4.759,6.084,0,0,3.157,1.0,1.0,
78,22.186,27.28,8,4,20.372,0.949,0.925,
61,3.91,4.744,8,4,14.186,0.934,0.897,
76,604.179,733.611,16,4,28.891,0.947,0.919,
73,604.198,733.636,12,2,13.906,0.973,0.959,
161,604.159,733.59,68,36,52.612,0.764,0.645,
256,604.255,733.692,72,34,134.601,0.898,0.841,
67,6.786,8.985,8,4,37.366,0.94,0.914,
169,604.286,713.802,8,4,39.841,0.976,0.963,
46,603.885,713.398,4,2,14.767,0.957,0.93,
50,603.952,713.467,16,8,24.619,0.84,0.716,
182,603.937,713.453,38,20,45.74,0.896,0.844,
38,3.738,4.502,0,0,1.373,1.0,1.0,
75,10.875,14.467,8,4,17.441,0.947,0.921,
