seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
16,19.494,23.863,4,2,1.792,0.875,0.828,
116,34.415,47.423,8,4,9.931,0.966,0.949,
36,19.012,22.845,0,0,1.504,1.0,1.0,
192,618.192,869.759,72,43,52.571,0.76,0.64,
379,562.301,790.624,6,4,11.431,0.989,0.984,
284,571.056,802.95,4,2,75.104,0.993,0.989,
12,19.036,22.935,0,0,1.362,1.0,1.0,
258,619.068,870.753,124,78,85.483,0.725,0.589,
45,36.96,50.822,0,0,3.32,1.0,1.0,
36,19.217,23.377,0,0,2.031,1.0,1.0,
213,520.6,730.698,4,2,65.216,0.991,0.986,
67,19.539,23.975,4,2,1.914,0.97,0.954,
98,617.851,869.303,56,28,36.525,0.714,,
30,104.405,145.946,0,0,1.098,1.0,1.0,
105,617.639,869.007,32,16,7.638,0.924,0.821,
105,618.495,870.166,56,28,39.294,0.733,,
67,54.418,75.298,0,0,16.491,1.0,1.0,
104,160.616,224.656,2,2,6.057,0.981,0.969,
42,20.117,25.306,6,4,2.622,0.905,0.855,
105,120.539,171.843,8,4,13.275,0.962,0.943,
400,616.471,840.426,436,218,305.532,0.455,,
17,20.041,26.701,8,4,3.117,0.765,0.627,
104,158.353,225.537,6,4,6.821,0.962,0.938,
62,144.394,206.003,4,2,14.468,0.968,0.95,
26,15.67,17.789,0,0,4.92,1.0,1.0,
57,23.296,31.395,4,2,29.763,0.965,0.949,
378,461.303,633.044,6,4,8.951,0.992,0.988,
105,526.199,718.062,4,2,10.63,0.981,0.97,
31,15.514,17.469,0,0,7.241,1.0,1.0,
102,64.898,91.385,4,2,11.031,0.961,0.94,
122,233.347,329.991,4,2,7.311,0.984,0.971,
45,571.485,779.785,8,4,7.554,0.911,0.866,
96,173.71,247.161,6,4,10.769,0.958,0.931,
123,615.531,839.213,90,45,51.748,0.805,0.702,
151,129.329,184.513,8,4,45.192,0.974,0.957,
103,617.037,840.993,66,28,34.766,0.825,0.712,
316,616.142,840.007,236,126,140.691,0.614,0.442,
174,75.795,107.202,8,4,39.255,0.977,0.965,
38,16.215,19.098,4,2,3.523,0.947,0.924,
35,461.512,640.408,0,0,5.245,1.0,1.0,
116,511.763,706.948,0,0,8.552,1.0,1.0,
85,319.882,450.119,0,0,0.886,1.0,1.0,
63,101.312,144.566,8,4,19.663,0.937,0.898,
63,16.644,20.163,0,0,2.34,1.0,1.0,
97,104.147,148.537,0,0,14.496,1.0,1.0,
50,138.521,197.367,8,4,16.977,0.92,0.867,
102,172.37,245.375,4,2,8.305,0.98,0.97,
101,475.352,658.989,0,0,6.519,1.0,1.0,
105,616.182,841.913,68,29,19.738,0.79,0.623,
337,616.119,841.825,268,155,166.041,0.519,0.28,
80,615.403,840.852,16,8,4.248,0.95,0.877,
400,616.818,842.718,408,226,295.319,0.41,0.118,
92,15.635,17.791,0,0,4.76,1.0,1.0,
102,616.684,842.582,42,21,27.367,0.765,0.62,
387,217.635,307.937,8,4,146.726,0.99,0.984,
36,616.61,842.476,28,14,11.09,0.611,,
111,146.545,208.935,12,6,20.545,0.964,0.946,
68,616.288,842.058,4,2,25.525,0.971,0.957,
105,616.235,841.99,20,10,4.006,0.905,0.852,
67,616.066,847.192,48,35,20.304,0.493,0.115,
53,617.061,848.473,12,4,9.936,0.925,0.885,
400,615.9,847.003,192,97,214.096,0.77,0.673,
110,617.343,848.837,40,20,14.32,0.818,,
40,615.768,846.85,4,2,5.238,0.95,0.917,
36,616.338,847.554,16,6,3.958,0.833,0.745,
61,617.165,848.621,4,2,1.837,0.967,0.882,
282,617.124,848.568,144,100,121.549,0.663,0.493,
200,617.381,848.887,154,95,96.39,0.445,0.118,
184,617.152,848.606,56,38,120.473,0.739,0.623,
88,617.314,848.805,24,12,15.489,0.864,0.666,
73,617.001,848.391,4,4,4.76,0.945,0.917,
370,617.474,849.001,204,114,168.23,0.67,0.505,
380,616.868,848.234,260,143,216.541,0.595,0.379,
75,214.792,303.447,4,2,23.305,0.973,0.945,
393,617.252,848.717,358,197,167.416,0.42,0.126,
284,616.295,847.512,220,131,138.032,0.468,0.202,
101,616.881,848.246,42,20,25.379,0.832,0.702,
397,617.566,849.088,132,84,186.34,0.738,0.601,
212,617.181,850.274,166,77,86.152,0.472,0.211,
214,616.909,849.928,116,64,76.866,0.706,0.561,
119,617.821,851.1,96,54,72.104,0.504,0.236,
104,392.675,545.577,0,0,6.18,1.0,1.0,
389,618.84,852.356,340,184,233.932,0.46,0.194,
355,618.614,852.107,276,144,168.642,0.563,0.338,
97,617.81,851.089,44,22,25.681,0.773,0.522,
34,618.162,851.573,10,4,2.013,0.882,0.824,
97,617.952,851.286,12,6,30.137,0.938,0.88,
400,617.24,850.34,248,139,166.927,0.62,0.436,
392,618.28,851.714,296,176,204.523,0.513,0.27,
100,617.477,850.65,58,44,31.57,0.44,0.063,
116,402.098,558.827,4,2,15.583,0.983,0.974,
389,618.699,852.199,262,144,177.035,0.56,0.341,
82,171.482,236.977,0,0,5.35,1.0,1.0,
358,616.057,848.768,324,189,195.022,0.447,0.152,
400,618.467,851.93,308,148,183.552,0.558,0.338,
202,618.25,851.679,216,112,126.392,0.396,0.096,
364,618.373,851.829,260,163,171.878,0.525,0.291,
