seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
16,0.157,0.006,0,0,1.791,1.0,1.0
116,0.579,0.116,0,0,3.964,1.0,1.0
36,0.533,0.108,0,0,3.008,1.0,1.0
192,341.085,0.367,0,0,13.779,1.0,1.0
379,1.71,0.167,0,0,12.669,1.0,1.0
284,20.114,0.236,0,0,83.512,1.0,1.0
12,0.167,0.005,0,0,1.292,1.0,1.0
258,601.153,0.348,160,99,109.562,0.527,0.302
45,600.912,0.334,4,2,4.459,0.956,0.932
36,0.768,0.085,0,0,1.509,1.0,1.0
213,5.251,0.168,0,0,64.614,1.0,1.0
67,0.648,0.063,0,0,1.631,1.0,1.0
98,600.914,0.3,64,37,40.533,0.52,0.056
30,600.694,0.298,18,10,10.511,0.6,0.341
105,600.567,0.29,48,33,34.453,0.657,0.075
105,600.893,0.284,56,31,33.134,0.714,0.383
67,1.349,0.066,0,0,26.704,1.0,1.0
104,0.452,0.033,0,0,9.999,1.0,1.0
42,0.774,0.042,0,0,1.472,1.0,1.0
105,0.552,0.024,0,0,15.61,1.0,1.0
400,106.79,0.233,0,0,34.314,1.0,
17,609.187,0.005,0,0,3.735,1.0,1.0
104,2.051,0.066,0,0,3.45,1.0,1.0
62,0.467,0.042,0,0,13.448,1.0,1.0
26,0.306,0.017,0,0,5.27,1.0,1.0
57,1.183,0.033,0,0,35.274,1.0,1.0
378,218.63,0.192,0,0,20.846,1.0,1.0
105,37.476,0.09,0,0,10.078,1.0,1.0
31,600.972,0.18,4,2,5.751,0.935,0.903
102,0.51,0.016,0,0,14.535,1.0,1.0
122,3.297,0.025,0,0,10.874,1.0,1.0
45,600.373,0.156,16,8,12.113,0.822,0.693
96,2.253,0.017,0,0,8.674,1.0,1.0
123,600.427,0.14,120,56,45.104,0.569,0.348
151,10.61,0.008,0,0,38.068,1.0,1.0
103,6.534,0.016,0,0,10.493,1.0,1.0
316,600.386,0.116,28,18,57.648,0.943,0.903
174,60.08,0.034,0,0,33.723,1.0,1.0
38,0.416,0.008,0,0,0.493,1.0,1.0
35,600.369,0.091,24,12,11.867,0.771,0.62
116,600.432,0.083,42,24,34.695,0.741,0.604
85,0.857,0.008,0,0,9.035,1.0,1.0
63,0.417,0.008,0,0,15.707,1.0,1.0
63,0.413,0.008,0,0,1.757,1.0,1.0
97,2.487,0.008,0,0,10.555,1.0,1.0
50,0.546,0.008,0,0,17.084,1.0,1.0
102,1.433,0.008,0,0,20.552,1.0,1.0
101,0.926,0.008,0,0,5.877,1.0,1.0
105,600.235,0.016,70,44,43.283,0.638,0.412
337,606.427,0.263,48,24,59.524,0.929,0.898
80,600.684,0.183,32,14,8.519,0.812,0.489
400,607.685,0.282,250,141,177.396,0.648,0.223
92,0.689,0.11,0,0,3.125,1.0,1.0
102,1.393,0.113,0,0,13.213,1.0,1.0
387,78.568,0.141,0,0,140.514,1.0,1.0
36,600.794,0.193,24,17,15.275,0.556,0.035
111,8.132,0.124,0,0,18.972,1.0,1.0
68,111.206,0.14,0,0,24.1,1.0,1.0
105,600.696,0.136,16,10,11.334,0.905,0.847
67,600.826,0.164,34,20,22.627,0.672,0.443
53,600.667,0.119,28,19,13.991,0.547,0.274
400,3.477,0.061,0,0,191.897,1.0,1.0
110,600.683,0.129,64,37,33.34,0.655,0.127
40,6.181,0.067,0,0,4.512,1.0,1.0
36,600.762,0.137,20,14,13.904,0.472,0.137
61,600.569,0.121,4,2,6.178,0.967,0.882
282,605.497,0.139,140,91,105.655,0.72,0.579
200,601.271,0.112,126,67,63.053,0.71,0.49
184,601.258,0.13,54,34,116.387,0.821,0.728
88,600.371,0.147,66,39,32.892,0.591,0.282
73,600.421,0.158,8,4,6.028,0.959,0.938
370,612.563,0.167,206,98,157.298,0.751,0.638
380,604.452,0.207,290,177,240.234,0.561,0.354
75,7.123,0.105,0,0,17.262,1.0,1.0
393,608.973,0.207,302,162,162.022,0.679,0.515
284,604.548,0.18,188,106,144.615,0.592,0.395
101,600.814,0.142,20,10,21.977,0.901,0.826
397,614.422,0.175,4,2,207.918,0.995,0.992
212,603.654,0.136,140,85,71.992,0.604,0.457
214,287.863,0.098,0,0,81.388,1.0,1.0
119,600.703,0.145,68,49,60.606,0.655,0.451
104,3.066,0.043,0,0,15.832,1.0,1.0
389,607.725,0.131,222,122,123.32,0.756,0.623
355,603.079,0.122,312,156,168.359,0.617,0.426
97,600.777,0.111,70,38,46.088,0.629,0.309
34,600.589,0.103,10,6,3.514,0.765,0.629
97,600.442,0.096,12,6,26.486,0.938,0.88
400,602.786,0.089,186,110,114.357,0.63,0.444
392,602.447,0.08,140,75,96.883,0.798,0.623
100,600.403,0.072,80,42,23.714,0.7,0.493
116,0.907,0.009,0,0,25.813,1.0,1.0
389,602.635,0.054,204,112,168.275,0.753,0.63
82,35.416,0.043,0,0,10.159,1.0,1.0
358,601.38,0.035,188,112,130.615,0.682,0.335
400,603.544,0.026,284,170,166.499,0.642,0.459
202,600.568,0.016,174,101,103.191,0.604,0.402
