seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
126,612.138,760.267,34,20,19.436,0.873,0.811,
109,612.661,761.001,12,6,10.647,0.945,0.916,
34,14.219,17.492,0,0,0.943,1.0,1.0,
231,613.332,761.87,18,10,26.979,0.957,0.934,
207,612.701,761.053,92,50,113.227,0.787,0.636,
206,612.36,760.567,98,54,121.591,0.786,0.684,
77,104.518,128.606,4,2,41.301,0.974,0.942,
119,612.532,760.816,24,14,55.99,0.882,0.828,
117,21.535,26.923,6,4,14.3,0.974,0.961,
76,12.768,15.002,4,2,26.349,0.974,0.96,
87,612.545,760.841,34,12,47.034,0.862,0.778,
27,612.743,761.104,12,6,6.924,0.778,0.57,
280,612.044,760.14,88,42,144.388,0.896,0.825,
128,121.831,149.295,6,4,29.59,0.969,0.953,
65,611.96,760.021,8,4,30.319,0.938,0.9,
201,613.045,761.499,124,78,115.717,0.721,0.448,
96,613.933,762.467,8,4,8.118,0.958,0.938,
266,613.02,761.469,90,44,172.696,0.85,0.741,
68,613.093,761.563,38,20,28.944,0.824,0.734,
26,12.826,15.139,4,2,2.304,0.923,0.884,
46,612.215,807.69,6,4,14.795,0.913,0.863,
121,17.625,22.8,0,0,22.769,1.0,1.0,
63,613.611,809.623,38,21,24.851,0.746,0.602,
90,14.878,19.291,6,2,9.252,0.978,0.966,
64,612.957,808.677,10,2,36.273,0.969,0.952,
68,12.783,14.61,8,4,9.176,0.941,0.914,
117,613.727,809.765,24,12,69.497,0.897,0.837,
136,16.904,21.802,6,4,20.059,0.971,0.956,
75,613.496,809.48,20,10,23.42,0.867,0.796,
210,613.309,809.206,54,20,120.75,0.905,0.808,
319,613.603,809.616,112,75,210.947,0.812,0.652,
280,612.594,808.22,100,50,132.407,0.871,0.781,
70,613.434,809.399,40,22,21.686,0.814,0.719,
76,613.468,809.445,16,7,27.918,0.895,0.834,
86,613.165,808.993,14,8,12.338,0.907,0.86,
76,613.426,809.392,26,15,40.36,0.789,0.604,
256,613.651,809.685,66,29,129.589,0.91,0.859,
258,613.532,809.53,46,31,101.459,0.88,0.819,
14,612.613,808.255,4,2,6.894,0.857,0.759,
73,612.773,808.471,34,23,26.054,0.74,0.583,
43,17.141,21.684,4,2,10.834,0.953,0.932,
377,615.139,758.156,190,102,163.14,0.772,0.639,
33,13.522,16.156,4,2,3.306,0.939,0.913,
78,51.57,63.438,4,2,21.767,0.974,0.961,
61,13.477,16.068,0,0,18.815,1.0,1.0,
76,613.892,756.813,16,4,25.591,0.947,0.919,
73,613.587,756.471,12,2,14.018,0.973,0.959,
161,613.986,756.961,30,16,34.251,0.907,0.864,
256,614.018,757.005,52,30,132.706,0.914,0.864,
67,18.356,23.167,8,4,39.817,0.94,0.909,
169,615.079,758.093,8,4,39.47,0.976,0.963,
46,613.137,755.969,6,4,15.684,0.913,0.858,
50,613.517,756.397,18,10,24.087,0.8,0.628,
182,45.536,55.745,8,4,59.004,0.978,0.966,
38,13.899,16.699,8,4,3.518,0.895,0.845,
75,13.888,16.681,0,0,27.09,1.0,1.0,
128,613.843,756.758,100,56,63.059,0.625,0.444,
369,614.494,757.488,110,54,166.625,0.9,0.839,
73,612.044,754.754,8,4,36.101,0.945,0.917,
155,612.808,755.612,22,12,99.002,0.929,0.86,
49,13.257,15.749,0,0,4.633,1.0,1.0,
24,613.171,758.725,4,2,10.059,0.917,0.787,
104,14.084,17.679,0,0,16.604,1.0,1.0,
119,46.457,57.865,4,2,21.307,0.983,0.975,
100,611.999,757.201,18,7,26.532,0.92,0.879,
363,613.525,759.169,96,36,246.5,0.901,0.761,
392,613.466,759.105,186,106,146.056,0.73,0.597,
75,613.464,759.105,12,6,16.986,0.92,0.881,
104,13.511,16.323,0,0,7.349,1.0,1.0,
29,613.355,758.979,6,4,2.201,0.862,0.791,
192,613.432,759.068,76,42,106.547,0.781,0.674,
123,27.45,34.336,6,4,26.965,0.967,0.951,
154,613.356,758.985,36,18,77.44,0.883,0.81,
23,612.293,757.589,4,2,0.13,0.913,0.871,
102,14.138,18.022,4,2,30.618,0.98,0.971,
75,14.075,17.734,4,2,32.459,0.973,0.956,
120,25.828,32.428,4,2,18.251,0.983,0.975,
299,613.219,758.804,20,10,175.02,0.967,0.95,
102,612.296,757.593,4,2,19.749,0.98,0.97,
70,612.938,758.419,20,10,39.537,0.857,0.747,
119,612.728,758.516,28,11,22.457,0.899,0.853,
114,29.712,37.28,2,2,32.151,0.982,0.973,
23,12.258,13.987,0,0,0.188,1.0,1.0,
155,612.707,758.49,8,4,38.724,0.974,0.962,
377,613.509,759.545,92,46,154.778,0.883,0.817,
233,611.811,757.493,36,22,50.774,0.918,0.878,
76,612.405,758.137,12,4,35.798,0.947,0.908,
120,14.891,18.882,8,4,34.104,0.967,0.951,
33,13.206,15.477,0,0,4.364,1.0,1.0,
73,13.858,16.913,4,2,22.516,0.973,0.959,
363,613.738,759.838,102,42,247.633,0.884,0.715,
392,613.624,759.696,134,53,124.445,0.865,0.802,
34,13.837,16.886,0,0,1.619,1.0,1.0,
100,613.054,758.976,12,6,16.751,0.94,0.911,
29,613.292,759.266,4,2,4.0,0.931,0.902,
25,14.177,17.797,6,4,7.998,0.84,0.755,
280,612.931,758.824,42,21,132.423,0.929,0.879,
53,614.076,760.21,6,4,8.462,0.925,0.888,
35,13.022,15.195,0,0,17.575,1.0,1.0,
242,613.868,760.0,108,61,152.465,0.806,0.666,
64,612.084,772.773,14,2,37.349,0.969,0.952,
25,14.024,17.069,8,4,2.821,0.84,0.766,
89,614.203,775.125,20,10,50.949,0.888,0.829,
68,611.948,772.574,26,17,19.889,0.824,0.731,
256,614.07,774.987,22,11,136.555,0.953,0.926,
28,12.741,14.493,4,2,2.503,0.929,0.898,
49,13.729,16.44,0,0,2.445,1.0,1.0,
86,613.678,774.516,16,4,8.319,0.953,0.93,
139,613.907,774.78,12,4,24.799,0.971,0.958,
71,17.362,22.153,4,2,7.43,0.972,0.959,
70,613.932,774.814,12,2,4.16,0.971,0.958,
75,614.032,798.067,20,10,64.932,0.867,0.579,
174,612.143,795.6,24,14,64.882,0.908,0.853,
76,613.415,797.288,24,12,37.143,0.842,0.707,
58,133.547,171.649,4,2,6.9,0.966,0.949,
56,13.117,15.412,0,0,3.514,1.0,1.0,
20,13.181,15.532,0,0,1.529,1.0,1.0,
118,39.531,50.216,2,2,41.276,0.983,0.974,
135,613.331,797.187,16,8,31.759,0.941,0.912,
377,613.781,797.769,162,94,159.937,0.79,0.673,
258,613.92,797.95,92,53,107.802,0.829,0.745,
30,13.161,15.513,8,4,3.356,0.867,0.816,
76,613.267,797.095,8,4,31.54,0.947,0.915,
154,612.907,796.623,50,20,73.123,0.87,0.782,
57,13.336,15.953,0,0,10.478,1.0,1.0,
117,613.489,797.401,16,8,67.432,0.932,0.894,
82,613.145,796.942,28,8,12.621,0.902,0.856,
97,613.61,797.553,24,10,15.539,0.897,0.845,
60,613.754,797.738,8,4,58.815,0.933,,
83,613.123,796.917,14,6,27.621,0.928,0.891,
50,613.589,797.527,16,8,25.73,0.84,0.705,
347,613.516,798.338,76,37,79.013,0.896,0.846,
76,13.819,17.257,0,0,23.945,1.0,1.0,
52,612.614,797.272,12,10,20.465,0.808,0.688,
135,611.871,796.338,36,18,82.492,0.867,0.625,
82,613.297,798.069,28,8,12.873,0.902,0.856,
106,13.436,16.199,0,0,16.233,1.0,1.0,
23,12.368,13.867,0,0,0.241,1.0,1.0,
40,613.525,798.35,4,2,3.71,0.95,0.877,
331,613.584,798.417,88,48,123.509,0.882,0.809,
136,13.697,16.947,4,2,14.985,0.985,0.978,
34,613.578,798.41,8,4,9.003,0.882,0.672,
117,613.26,798.024,24,13,67.267,0.889,0.826,
71,13.283,15.873,8,4,7.786,0.944,0.911,
125,613.177,797.913,8,4,31.543,0.968,0.952,
68,613.204,797.955,44,25,24.786,0.765,0.653,
120,46.282,60.603,8,4,22.449,0.967,0.949,
91,13.372,16.104,6,4,6.557,0.956,0.934,
122,303.71,400.249,8,4,52.313,0.967,0.949,
32,13.496,16.501,0,0,0.1,1.0,1.0,
388,613.6,770.478,108,49,93.637,0.884,0.825,
73,613.718,770.628,4,2,34.16,0.973,0.884,
106,613.628,770.516,8,4,22.08,0.962,0.943,
76,37.996,49.145,6,4,28.91,0.947,0.916,
