seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
16,12.824,14.736,4,2,2.628,0.875,0.828,
116,13.368,15.928,4,4,5.874,0.966,0.948,
36,12.497,14.029,0,0,3.013,1.0,1.0,
192,20.257,25.529,8,4,9.813,0.979,0.969,
379,69.075,87.877,8,4,14.063,0.989,0.984,
284,23.876,30.399,4,2,79.363,0.993,0.989,
12,13.87,16.756,0,0,2.355,1.0,1.0,
258,245.242,267.046,4,4,21.593,0.984,0.977,
45,14.435,17.712,0,0,4.073,1.0,1.0,
36,12.824,14.763,4,2,4.682,0.944,0.917,
213,15.116,19.181,8,4,71.489,0.981,0.972,
67,13.19,15.65,0,0,0.212,1.0,1.0,
98,15.119,19.184,0,0,7.53,1.0,1.0,
30,14.293,17.459,0,0,1.209,1.0,1.0,
105,47.324,60.572,0,0,3.925,1.0,1.0,
105,20.813,26.287,8,4,7.226,0.962,0.91,
67,14.43,17.734,2,2,27.679,0.97,0.953,
104,16.313,20.76,2,2,2.74,0.981,0.969,
42,13.773,16.62,8,4,1.783,0.905,0.864,
105,20.295,26.452,4,2,6.611,0.981,0.971,
400,16.757,21.738,0,0,0.028,1.0,,
17,13.599,16.209,0,0,4.368,1.0,1.0,
104,19.831,25.779,4,2,1.446,0.981,0.969,
62,15.894,20.644,0,0,12.819,1.0,1.0,
26,14.165,16.985,0,0,6.666,1.0,1.0,
57,14.892,18.951,6,4,36.807,0.93,0.896,
378,17.941,23.207,6,4,13.771,0.989,0.984,
105,52.314,68.038,8,4,13.71,0.962,0.941,
31,13.51,16.014,8,4,8.127,0.871,0.808,
102,15.342,19.973,0,0,11.439,1.0,1.0,
122,14.992,19.26,0,0,1.133,1.0,1.0,
45,82.622,110.704,8,4,7.631,0.911,0.866,
96,14.493,17.763,0,0,10.472,1.0,1.0,
123,614.556,673.701,88,36,46.133,0.789,0.677,
151,16.703,21.679,0,0,40.697,1.0,1.0,
103,137.485,185.19,0,0,8.063,1.0,1.0,
316,86.477,115.453,8,4,57.665,0.987,0.979,
174,14.575,18.004,0,0,32.194,1.0,1.0,
38,14.937,19.149,0,0,0.44,1.0,1.0,
35,22.617,30.201,8,4,5.635,0.886,0.815,
116,28.953,38.664,0,0,4.92,1.0,1.0,
85,16.416,21.454,6,4,5.991,0.953,0.923,
63,15.298,19.534,0,0,11.205,1.0,1.0,
63,14.71,17.938,0,0,1.27,1.0,1.0,
97,21.731,28.912,0,0,4.915,1.0,1.0,
50,17.87,23.446,0,0,13.959,1.0,1.0,
102,25.483,34.033,4,2,4.567,0.98,0.97,
101,27.235,36.415,8,4,2.018,0.96,0.937,
105,614.744,764.235,54,24,14.594,0.829,0.693,
337,252.141,321.479,0,0,26.931,1.0,1.0,
80,614.022,763.367,16,8,4.248,0.95,0.877,
400,19.304,25.432,4,2,19.855,0.995,0.984,
92,15.44,19.801,0,0,3.617,1.0,1.0,
102,18.262,24.008,0,0,3.419,1.0,1.0,
387,22.492,30.038,0,0,140.66,1.0,1.0,
36,613.157,762.359,24,16,10.004,0.583,0.104,
111,28.689,38.351,0,0,16.084,1.0,1.0,
68,614.39,763.869,22,10,31.855,0.853,0.779,
105,614.386,763.864,20,10,7.881,0.905,0.849,
67,613.292,785.199,52,29,22.62,0.627,0.376,
53,613.078,784.919,10,4,10.226,0.925,0.885,
400,157.244,203.375,4,2,193.79,0.995,0.992,
110,613.484,785.477,40,20,10.489,0.827,0.238,
40,613.173,785.04,4,2,3.429,0.95,0.917,
36,613.068,784.91,14,6,5.496,0.833,0.73,
61,613.282,785.193,4,2,3.467,0.967,0.882,
282,613.631,785.657,78,41,105.423,0.872,0.809,
200,613.495,785.502,38,18,62.474,0.915,0.851,
184,514.985,662.24,2,2,114.235,0.989,0.983,
88,613.335,785.268,32,16,13.177,0.818,0.533,
73,613.963,786.022,4,3,2.808,0.945,0.918,
370,613.671,785.703,268,136,141.634,0.754,0.634,
380,613.315,785.244,74,32,249.197,0.911,0.855,
75,19.922,26.072,0,0,17.814,1.0,1.0,
393,613.519,785.53,346,169,166.97,0.684,0.522,
284,614.04,786.104,240,124,139.888,0.669,0.462,
101,613.208,785.1,38,19,23.085,0.842,0.716,
397,613.983,786.045,16,8,209.863,0.98,0.969,
212,611.891,854.793,170,63,71.441,0.717,0.593,
214,612.969,856.169,116,67,97.231,0.804,0.703,
119,611.673,854.489,104,46,55.664,0.697,0.522,
104,27.677,38.111,4,2,13.064,0.981,0.97,
389,612.263,855.266,156,81,67.004,0.859,0.776,
355,612.912,856.11,222,127,133.247,0.679,0.506,
97,612.419,855.477,24,15,8.112,0.845,0.686,
34,612.713,855.888,8,6,5.305,0.824,0.721,
97,612.421,855.479,20,12,28.815,0.876,0.757,
400,612.043,854.986,120,60,70.553,0.855,0.789,
392,612.683,855.851,102,58,98.785,0.867,0.752,
100,612.554,855.682,80,41,25.834,0.68,0.459,
116,21.439,29.237,0,0,24.618,1.0,1.0,
389,612.781,855.967,114,66,131.734,0.843,0.766,
82,15.338,20.466,0,0,8.187,1.0,1.0,
358,612.601,855.744,168,97,146.509,0.749,0.486,
400,612.31,855.335,164,97,113.285,0.82,0.724,
202,612.134,855.107,138,66,68.498,0.752,0.623,
364,612.806,855.992,222,118,166.747,0.706,0.57,
