seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
126,612.692,734.644,32,18,18.126,0.833,0.751,
109,613.531,735.51,8,4,8.747,0.963,0.944,
34,12.31,14.651,0,0,0.775,1.0,1.0,
231,612.644,734.59,20,10,23.921,0.957,0.934,
207,612.525,734.444,80,48,121.361,0.812,0.68,
206,612.466,734.357,56,32,128.048,0.869,0.806,
77,62.719,75.258,4,2,41.723,0.974,0.942,
119,612.428,734.304,48,16,60.169,0.866,0.805,
117,16.888,20.762,8,4,14.417,0.966,0.95,
76,12.616,15.359,4,2,25.499,0.974,0.96,
87,612.87,734.831,38,18,40.85,0.793,0.649,
27,611.892,733.697,12,6,5.512,0.778,0.57,
280,612.949,734.913,34,14,126.767,0.95,0.915,
128,210.038,247.356,8,4,35.917,0.969,0.954,
65,612.278,734.127,8,4,31.792,0.938,0.9,
201,612.471,734.379,112,63,112.326,0.746,0.501,
96,613.216,735.183,16,8,3.768,0.917,0.877,
266,613.489,735.46,92,44,179.093,0.857,0.757,
68,612.391,734.268,36,20,26.949,0.838,0.756,
26,13.44,16.66,0,0,0.448,1.0,1.0,
46,614.686,792.138,8,4,17.371,0.913,0.863,
121,18.336,22.153,8,4,22.317,0.967,0.95,
63,613.37,790.739,32,23,27.236,0.651,0.445,
90,13.98,17.026,8,4,13.224,0.956,0.935,
64,612.66,789.817,10,3,34.599,0.938,0.902,
68,13.951,16.985,0,0,7.097,1.0,1.0,
117,613.509,790.945,24,12,68.632,0.906,0.855,
136,18.654,22.557,6,4,14.989,0.971,0.956,
75,612.808,790.047,20,11,17.026,0.84,0.757,
210,612.759,789.972,56,33,120.923,0.862,0.718,
319,613.494,790.926,114,52,218.428,0.843,0.713,
280,612.751,789.963,76,38,135.765,0.907,0.842,
70,613.039,790.375,18,8,22.099,0.871,0.807,
76,612.921,790.237,44,28,25.601,0.724,0.566,
86,613.342,790.71,8,4,4.044,0.953,0.932,
76,613.364,790.748,46,24,50.709,0.697,0.406,
256,613.392,790.787,54,31,129.007,0.906,0.851,
258,613.268,790.627,44,24,91.978,0.907,0.86,
14,613.213,790.568,12,6,9.686,0.571,,
73,613.356,790.741,46,21,31.01,0.781,0.652,
43,62.395,73.415,4,2,8.167,0.953,0.933,
377,613.515,738.803,162,87,169.362,0.769,0.635,
33,12.648,14.637,0,0,2.429,1.0,1.0,
78,51.549,60.322,0,0,15.792,1.0,1.0,
61,13.209,15.846,0,0,20.597,1.0,1.0,
76,613.214,738.473,24,10,32.881,0.868,0.793,
73,612.715,737.919,12,6,17.138,0.918,0.879,
161,612.936,738.157,42,19,38.896,0.876,0.818,
256,613.274,738.548,74,40,136.898,0.879,0.81,
67,20.373,24.368,4,2,39.707,0.97,0.956,
169,613.154,738.392,8,4,37.284,0.976,0.963,
46,613.182,738.437,26,13,13.943,0.652,0.402,
50,612.882,738.099,16,8,23.675,0.84,0.705,
182,354.949,422.48,8,4,58.95,0.978,0.966,
38,12.821,15.064,0,0,0.492,1.0,1.0,
75,14.34,17.411,4,2,24.883,0.973,0.959,
128,613.159,738.408,84,34,66.212,0.812,0.726,
369,613.531,738.831,36,16,156.977,0.957,0.932,
73,613.993,739.294,8,4,36.079,0.945,0.917,
155,613.137,738.381,56,22,100.903,0.858,0.712,
49,13.076,15.572,0,0,4.325,1.0,1.0,
24,613.33,733.57,4,2,10.229,0.917,0.787,
104,33.012,39.117,6,4,15.29,0.962,0.943,
119,32.61,38.66,2,2,19.253,0.983,0.974,
100,613.055,733.27,24,10,30.419,0.9,0.851,
363,613.73,734.02,94,34,248.469,0.906,0.772,
392,612.472,732.541,162,71,128.71,0.809,0.718,
75,613.669,733.939,12,4,19.799,0.947,0.92,
104,14.019,17.037,4,2,7.445,0.981,0.972,
29,613.488,733.742,2,2,1.099,0.931,0.89,
192,614.081,734.391,82,38,111.267,0.802,0.707,
123,31.565,37.404,4,2,29.759,0.984,0.976,
154,612.653,732.795,44,26,76.386,0.844,0.737,
23,612.847,733.037,4,2,0.024,0.913,0.871,
102,13.315,16.112,4,2,31.555,0.98,0.971,
75,16.638,20.188,0,0,32.486,1.0,1.0,
120,15.414,18.737,6,4,17.106,0.967,0.95,
299,613.733,734.031,58,34,187.984,0.916,0.875,
102,613.397,733.641,8,4,22.882,0.961,0.94,
70,613.564,733.822,20,8,35.211,0.886,0.798,
119,612.684,738.43,44,27,43.266,0.773,0.674,
114,19.899,23.904,4,2,31.82,0.982,0.973,
23,13.044,15.546,4,2,3.165,0.913,0.877,
155,614.596,740.479,8,4,38.108,0.974,0.962,
377,614.647,740.532,142,58,151.122,0.87,0.797,
233,612.639,738.371,68,28,48.488,0.833,0.749,
76,612.41,738.09,14,6,35.198,0.921,0.862,
120,25.758,30.903,0,0,36.442,1.0,1.0,
33,13.211,15.847,0,0,4.832,1.0,1.0,
73,12.558,14.416,0,0,22.533,1.0,1.0,
363,614.584,740.466,90,37,245.38,0.904,0.765,
392,613.09,738.893,170,82,150.306,0.798,0.702,
34,12.546,14.398,0,0,0.637,1.0,1.0,
100,613.751,739.607,14,8,19.185,0.92,0.88,
29,612.234,737.846,4,2,3.598,0.931,0.902,
25,13.231,15.882,0,0,8.763,1.0,1.0,
280,613.309,739.129,28,14,129.693,0.957,0.927,
53,613.18,738.992,10,6,3.192,0.906,0.858,
35,13.023,15.534,0,0,17.709,1.0,1.0,
242,613.233,739.047,110,73,157.115,0.752,0.567,
64,613.43,770.742,32,18,29.684,0.781,0.654,
25,14.439,17.46,4,2,1.586,0.92,0.887,
89,613.382,770.687,24,13,49.228,0.843,0.749,
68,612.657,769.798,28,18,19.856,0.809,0.708,
256,613.755,771.178,76,40,132.443,0.871,0.795,
28,12.833,14.482,0,0,0.258,1.0,1.0,
49,13.456,15.97,0,0,3.949,1.0,1.0,
