seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
126,3.571,3.578,28,16,19.219,0.873,0.826,
109,0.22,0.221,4,2,7.557,0.982,0.972,
34,0.002,0.002,0,0,1.686,1.0,1.0,
231,0.749,0.75,8,4,23.501,0.983,0.974,
207,7.588,7.602,54,26,121.454,0.874,0.792,
206,1.763,1.771,32,16,127.445,0.922,0.889,
77,0.201,0.202,4,2,43.851,0.974,0.942,
119,3.034,3.04,24,14,50.242,0.882,0.838,
117,0.024,0.024,0,0,13.158,1.0,1.0,
76,0.006,0.006,0,0,22.348,1.0,1.0,
87,1.165,1.167,30,14,50.115,0.816,0.693,
27,0.046,0.047,12,6,5.26,0.778,0.57,
280,1.958,1.962,16,8,118.807,0.971,0.952,
128,0.148,0.148,0,0,31.529,1.0,1.0,
65,5.097,5.125,8,4,25.865,0.938,0.9,
201,5.046,5.074,60,30,112.679,0.851,0.719,
96,0.425,0.425,12,6,3.27,0.938,0.91,
266,13.099,13.124,40,20,180.444,0.925,0.875,
68,0.187,0.188,10,6,18.17,0.912,0.874,
26,0.002,0.003,0,0,4.315,1.0,1.0,
46,0.024,0.024,4,2,16.893,0.957,0.933,
121,0.021,0.021,0,0,25.733,1.0,1.0,
63,0.94,0.943,24,13,22.982,0.714,0.55,
90,0.009,0.01,0,0,12.35,1.0,1.0,
64,0.106,0.106,10,6,37.773,0.906,0.859,
68,0.003,0.003,0,0,11.707,1.0,1.0,
117,0.604,0.605,8,4,60.365,0.966,0.946,
136,0.018,0.019,0,0,17.881,1.0,1.0,
75,0.429,0.43,16,8,18.893,0.893,0.84,
210,2.47,2.479,20,10,128.712,0.952,0.905,
319,54.223,54.328,60,34,220.306,0.903,0.824,
280,2.474,2.478,16,8,117.213,0.971,0.952,
70,0.204,0.204,12,6,19.252,0.914,0.876,
76,0.337,0.338,12,5,31.71,0.921,0.877,
86,0.069,0.069,4,2,9.098,0.977,0.965,
76,0.531,0.532,20,10,41.459,0.868,0.757,
256,0.432,0.433,6,4,131.077,0.984,0.975,
258,5.428,5.438,28,14,94.36,0.946,0.921,
14,0.01,0.01,2,2,7.749,0.857,0.754,
73,0.386,0.387,26,12,34.196,0.836,0.754,
43,0.022,0.022,4,2,11.52,0.953,0.932,
377,73.047,73.178,56,29,152.632,0.92,0.878,
33,0.002,0.002,0,0,3.865,1.0,1.0,
78,0.076,0.076,4,2,22.24,0.974,0.961,
61,0.002,0.002,0,0,21.05,1.0,1.0,
76,5.879,5.919,12,6,30.631,0.921,0.88,
73,5.552,5.591,12,6,16.424,0.918,0.879,
161,5.342,5.38,20,10,37.936,0.938,0.911,
256,1.281,1.283,14,8,138.871,0.969,0.951,
67,0.019,0.019,0,0,39.946,1.0,1.0,
169,0.128,0.128,4,2,34.81,0.988,0.981,
46,0.025,0.026,4,2,13.87,0.957,0.93,
50,0.034,0.034,4,2,17.896,0.96,0.933,
182,0.459,0.46,4,2,59.619,0.989,0.983,
38,0.004,0.004,0,0,1.192,1.0,1.0,
75,0.005,0.005,0,0,26.22,1.0,1.0,
128,1.165,1.167,24,12,52.105,0.906,0.868,
369,22.189,22.231,26,13,151.784,0.962,0.94,
73,0.373,0.375,4,2,36.12,0.973,0.958,
155,0.321,0.322,8,4,96.403,0.974,0.95,
49,0.002,0.002,0,0,5.496,1.0,1.0,
24,0.014,0.014,4,2,10.057,0.917,0.787,
104,0.129,0.13,4,2,20.225,0.981,0.972,
119,0.02,0.02,0,0,21.459,1.0,1.0,
100,0.207,0.208,4,2,30.337,0.98,0.97,
363,62.216,62.334,102,51,257.603,0.857,0.638,
392,230.968,231.386,88,44,142.13,0.888,0.838,
75,0.214,0.215,12,6,24.612,0.92,0.881,
104,0.016,0.016,0,0,7.684,1.0,1.0,
29,37.659,37.882,4,2,0.437,0.931,0.898,
192,37.65,37.872,68,35,116.131,0.807,0.726,
123,1.775,1.785,0,0,29.452,1.0,1.0,
154,1.765,1.775,28,14,75.034,0.909,0.847,
23,0.008,0.008,4,2,0.425,0.913,0.871,
102,0.007,0.007,0,0,28.654,1.0,1.0,
75,0.039,0.039,0,0,37.246,1.0,1.0,
120,0.022,0.022,0,0,26.631,1.0,1.0,
299,4.883,4.902,8,4,170.296,0.987,0.98,
102,0.129,0.129,4,2,19.686,0.98,0.97,
70,0.246,0.246,12,6,38.023,0.914,0.845,
119,1.544,1.547,22,10,24.037,0.916,0.879,
114,0.149,0.149,8,4,32.622,0.965,0.947,
23,0.001,0.001,0,0,1.508,1.0,1.0,
155,0.254,0.254,0,0,35.019,1.0,1.0,
377,66.924,67.052,56,30,177.778,0.92,0.879,
233,4.157,4.165,10,6,48.497,0.974,0.962,
76,0.184,0.184,12,6,35.374,0.921,0.865,
120,0.014,0.014,0,0,33.741,1.0,1.0,
33,0.006,0.006,0,0,7.263,1.0,1.0,
73,0.01,0.01,0,0,20.364,1.0,1.0,
363,48.798,48.994,86,44,260.197,0.879,0.699,
392,409.443,410.214,108,54,182.132,0.862,0.804,
34,0.002,0.002,0,0,0.922,1.0,1.0,
100,0.539,0.54,12,6,19.002,0.94,0.911,
29,0.015,0.015,4,2,4.356,0.931,0.902,
25,0.005,0.005,0,0,9.271,1.0,1.0,
280,1.815,1.821,16,8,123.533,0.971,0.952,
53,0.038,0.038,4,2,7.941,0.962,0.945,
35,0.002,0.002,0,0,16.168,1.0,1.0,
242,109.289,109.5,80,42,137.54,0.839,0.723,
64,0.235,0.235,14,8,34.286,0.875,0.808,
25,0.014,0.014,4,2,4.337,0.92,0.886,
89,0.147,0.147,12,6,49.885,0.933,0.896,
68,0.057,0.058,6,4,10.46,0.941,0.913,
256,0.621,0.622,8,6,135.903,0.977,0.963,
28,0.001,0.001,0,0,0.635,1.0,1.0,
49,0.014,0.014,0,0,2.836,1.0,1.0,
86,0.451,0.453,12,6,8.534,0.93,0.901,
139,1.451,1.456,12,5,29.34,0.957,0.936,
71,0.007,0.007,0,0,6.375,1.0,1.0,
70,0.193,0.193,8,4,9.361,0.943,0.918,
75,0.396,0.397,20,10,62.879,0.867,0.579,
174,0.625,0.626,14,7,73.719,0.954,0.927,
76,0.562,0.563,20,10,36.749,0.868,0.757,
58,0.014,0.015,0,0,6.963,1.0,1.0,
56,0.002,0.002,0,0,2.686,1.0,1.0,
20,0.002,0.002,0,0,2.771,1.0,1.0,
118,0.036,0.036,0,0,39.79,1.0,1.0,
135,59.878,60.111,4,2,35.786,0.985,0.978,
377,59.509,59.741,56,29,164.191,0.92,0.878,
258,2.668,2.673,28,14,93.685,0.946,0.921,
30,0.002,0.002,0,0,7.843,1.0,1.0,
76,1.509,1.517,8,4,29.283,0.947,0.915,
154,1.413,1.422,18,10,69.386,0.935,0.891,
57,0.002,0.002,0,0,9.481,1.0,1.0,
117,0.647,0.648,8,4,59.289,0.966,0.946,
82,0.54,0.541,30,16,17.127,0.805,0.722,
97,0.495,0.497,16,8,13.248,0.918,0.881,
60,0.027,0.027,4,2,54.781,0.967,0.806,
83,0.399,0.4,10,6,25.172,0.928,0.895,
50,0.023,0.023,4,2,19.25,0.96,0.933,
347,38.828,38.904,28,14,86.845,0.96,0.941,
76,0.003,0.003,0,0,24.174,1.0,1.0,
52,0.213,0.214,22,12,18.181,0.769,0.636,
135,2.531,2.536,36,18,87.081,0.867,0.625,
82,0.33,0.331,26,14,21.153,0.829,0.755,
106,0.006,0.006,0,0,17.48,1.0,1.0,
23,0.001,0.001,0,0,0.341,1.0,1.0,
40,0.012,0.012,4,2,1.04,0.95,0.874,
331,25.54,25.592,28,16,126.476,0.952,0.922,
136,0.041,0.041,0,0,18.226,1.0,1.0,
34,0.66,0.664,4,2,8.665,0.941,0.844,
117,0.641,0.645,8,4,60.503,0.966,0.946,
71,0.007,0.007,0,0,0.531,1.0,1.0,
125,0.175,0.176,4,2,35.276,0.984,0.976,
68,0.336,0.337,26,14,20.936,0.794,0.728,
120,0.064,0.064,0,0,21.704,1.0,1.0,
91,0.021,0.021,0,0,9.901,1.0,1.0,
122,0.038,0.038,0,0,51.324,1.0,1.0,
32,0.001,0.001,0,0,0.644,1.0,1.0,
388,104.096,104.302,60,29,78.872,0.923,0.885,
73,0.02,0.02,4,2,32.618,0.973,0.884,
106,0.304,0.305,4,2,17.149,0.981,0.972,
76,0.074,0.074,2,2,26.526,0.974,0.958,
120,0.052,0.053,0,0,25.077,1.0,1.0,
69,0.082,0.082,8,4,17.564,0.942,0.915,
74,0.58,0.581,24,12,49.644,0.838,0.68,
74,0.003,0.003,0,0,6.133,1.0,1.0,
392,314.422,315.043,98,48,143.017,0.872,0.815,
87,0.004,0.004,0,0,43.413,1.0,1.0,
70,0.058,0.058,8,4,16.288,0.943,0.906,
90,0.032,0.033,0,0,8.746,1.0,1.0,
88,0.141,0.142,12,6,67.388,0.932,0.871,
115,0.123,0.124,2,2,43.202,0.983,0.972,
360,54.776,54.993,60,32,219.316,0.906,0.763,
30,0.001,0.001,0,0,2.044,1.0,1.0,
161,6.346,6.359,24,12,39.816,0.925,0.894,
31,0.009,0.009,0,0,6.746,1.0,1.0,
195,0.974,0.976,8,4,53.151,0.979,0.969,
64,0.274,0.274,22,11,33.207,0.812,0.715,
32,0.004,0.004,0,0,2.588,1.0,1.0,
114,0.116,0.117,0,0,30.246,1.0,1.0,
169,0.125,0.126,4,2,34.384,0.988,0.981,
46,0.022,0.022,4,2,16.346,0.957,0.933,
83,0.198,0.198,12,6,22.628,0.928,0.892,
72,0.082,0.082,8,4,24.726,0.958,0.916,
115,0.408,0.409,12,6,45.685,0.948,0.92,
116,0.093,0.093,4,2,40.291,0.983,0.973,
77,0.064,0.064,2,2,20.765,0.974,0.959,
77,0.259,0.259,12,6,18.189,0.922,0.885,
29,0.001,0.001,0,0,1.35,1.0,1.0,
34,0.001,0.001,0,0,9.283,1.0,1.0,
155,0.308,0.308,12,6,98.338,0.961,0.924,
