seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
16,0.001,0.001,0,0,1.801,1.0,1.0,
116,0.014,0.015,0,0,2.198,1.0,1.0,
36,0.002,0.002,0,0,1.107,1.0,1.0,
192,0.083,0.083,0,0,10.066,1.0,1.0,
379,0.96,0.962,4,2,49.818,0.995,0.992,
284,0.083,0.083,0,0,65.482,1.0,1.0,
12,0.004,0.005,0,0,0.731,1.0,1.0,
258,1.157,1.159,0,0,27.454,1.0,1.0,
45,0.002,0.002,0,0,1.52,1.0,1.0,
36,0.002,0.002,0,0,1.312,1.0,1.0,
213,0.129,0.129,0,0,65.987,1.0,1.0,
67,0.003,0.003,0,0,2.622,1.0,1.0,
98,0.362,0.363,4,2,8.957,0.98,0.957,
30,0.055,0.055,12,6,5.442,0.8,0.681,
105,0.299,0.3,8,4,7.411,0.962,0.919,
105,0.681,0.682,8,4,10.406,0.962,0.919,
67,0.008,0.007,0,0,19.329,1.0,1.0,
104,0.008,0.008,0,0,12.007,1.0,1.0,
42,0.003,0.003,0,0,0.598,1.0,1.0,
105,0.07,0.07,0,0,6.968,1.0,1.0,
400,0.008,0.008,0,0,0.0,1.0,,
17,0.12,0.121,0,0,3.239,1.0,1.0,
104,0.136,0.137,0,0,4.205,1.0,1.0,
62,0.032,0.032,0,0,8.334,1.0,1.0,
26,0.001,0.001,0,0,3.89,1.0,1.0,
57,0.003,0.004,0,0,39.013,1.0,1.0,
378,0.605,0.606,0,0,11.961,1.0,1.0,
105,0.104,0.104,4,2,10.229,0.981,0.969,
31,0.0,0.001,0,0,7.285,1.0,1.0,
102,0.031,0.031,0,0,9.957,1.0,1.0,
122,0.022,0.022,0,0,7.825,1.0,1.0,
45,0.053,0.053,8,4,4.588,0.911,0.85,
96,0.089,0.089,6,4,11.976,0.958,0.931,
123,0.377,0.378,0,0,27.139,1.0,1.0,
151,0.101,0.101,0,0,21.409,1.0,1.0,
103,0.182,0.182,0,0,11.282,1.0,1.0,
316,1.19,1.193,4,2,40.529,0.994,0.989,
174,0.042,0.042,0,0,21.379,1.0,1.0,
38,0.002,0.002,0,0,1.272,1.0,1.0,
35,0.031,0.031,0,0,5.275,1.0,1.0,
116,0.173,0.173,4,2,14.975,0.983,0.974,
85,0.052,0.053,0,0,1.507,1.0,1.0,
63,0.045,0.045,4,2,8.779,0.968,0.947,
63,0.003,0.003,0,0,7.63,1.0,1.0,
97,0.223,0.223,0,0,11.888,1.0,1.0,
50,0.018,0.018,0,0,10.117,1.0,1.0,
102,0.057,0.058,0,0,7.775,1.0,1.0,
101,0.088,0.088,0,0,8.417,1.0,1.0,
105,1.114,1.116,34,18,9.654,0.829,0.7,
337,0.873,0.875,0,0,39.294,1.0,1.0,
80,0.155,0.155,8,4,6.483,0.95,0.892,
400,2.773,2.779,0,0,16.703,1.0,1.0,
92,0.011,0.011,0,0,9.131,1.0,1.0,
102,0.029,0.029,0,0,7.897,1.0,1.0,
387,0.455,0.457,0,0,120.242,1.0,1.0,
36,0.286,0.286,28,14,8.903,0.611,,
111,0.026,0.027,0,0,25.949,1.0,1.0,
68,0.051,0.051,4,2,19.168,0.971,0.957,
105,0.303,0.304,4,2,6.933,0.981,0.97,
67,0.474,0.475,24,15,12.922,0.761,0.601,
53,0.027,0.028,0,0,10.843,1.0,1.0,
400,0.112,0.113,0,0,160.299,1.0,1.0,
110,0.805,0.807,20,10,6.605,0.927,0.76,
40,0.014,0.014,4,2,1.757,0.95,0.917,
36,0.041,0.041,0,0,3.402,1.0,1.0,
61,0.016,0.016,4,2,0.605,0.967,0.882,
282,87.686,87.856,36,20,81.913,0.929,0.895,
200,0.249,0.25,8,4,48.613,0.98,0.965,
184,0.048,0.048,0,0,97.864,1.0,1.0,
88,0.275,0.277,24,12,12.94,0.864,0.666,
73,0.062,0.062,4,2,3.44,0.973,0.959,
370,86.426,86.593,48,24,76.975,0.935,0.907,
380,11.65,11.672,8,4,286.536,0.989,0.983,
75,0.033,0.034,4,2,12.658,0.973,0.941,
393,189.838,190.58,80,40,72.477,0.898,0.855,
284,117.652,117.882,52,26,98.999,0.908,0.854,
101,0.415,0.416,8,4,12.604,0.96,0.931,
397,1.294,1.296,4,2,167.906,0.995,0.992,
212,4.398,4.406,4,2,52.724,0.991,0.986,
214,2.891,2.897,6,2,74.829,0.991,0.986,
119,1.987,1.995,42,22,27.6,0.84,0.756,
104,0.181,0.182,0,0,8.655,1.0,1.0,
389,52.412,52.513,24,12,50.475,0.969,0.952,
355,69.144,69.279,74,40,75.982,0.89,0.835,
97,0.284,0.285,10,6,10.028,0.938,0.883,
34,0.021,0.021,6,4,3.074,0.882,0.816,
97,0.415,0.416,12,6,24.871,0.938,0.88,
400,262.11,262.602,60,30,42.208,0.925,0.891,
392,104.107,104.309,44,24,62.46,0.939,0.888,
100,1.273,1.275,48,26,12.504,0.74,0.572,
116,0.018,0.018,0,0,18.486,1.0,1.0,
389,15.391,15.421,12,6,87.113,0.985,0.977,
82,0.063,0.063,0,0,10.502,1.0,1.0,
358,278.776,279.275,110,58,95.493,0.838,0.692,
400,11.656,11.675,12,6,54.823,0.985,0.977,
202,1.456,1.459,0,0,20.735,1.0,1.0,
364,130.567,130.781,56,26,148.38,0.929,0.893,
