seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
109,0.129,0.016,16,8,13.753,0.927,0.888
34,0.105,0.009,8,4,1.565,0.882,0.837
231,0.164,0.012,72,46,54.336,0.775,0.672
206,0.17,0.017,106,68,133.552,0.641,0.461
119,0.137,0.016,100,58,56.721,0.513,0.276
76,0.119,0.015,66,40,27.497,0.605,0.375
87,0.11,0.009,60,33,33.959,0.54,0.35
27,0.1,0.008,22,17,5.019,0.259,-0.24
128,0.133,0.015,58,38,38.61,0.641,0.463
65,0.108,0.014,42,25,29.569,0.569,0.393
266,0.162,0.019,260,148,123.931,0.372,0.083
68,0.106,0.009,44,29,19.039,0.588,0.385
26,0.094,0.008,16,11,13.475,0.385,0.093
90,0.122,0.014,22,15,17.106,0.822,0.74
68,0.132,0.014,8,4,6.368,0.941,0.914
136,0.137,0.016,62,40,39.798,0.669,0.509
210,0.148,0.011,174,112,101.717,0.357,0.025
319,0.172,0.018,274,168,145.16,0.429,0.176
76,0.116,0.016,64,34,22.893,0.579,0.383
76,0.124,0.015,74,39,37.091,0.513,0.272
258,0.188,0.02,216,127,89.033,0.527,0.298
14,0.098,0.008,6,4,2.493,0.714,0.509
73,0.117,0.009,52,27,41.198,0.616,0.442
377,0.212,0.023,368,221,210.65,0.332,0.011
33,0.1,0.008,10,7,7.739,0.697,0.558
78,0.114,0.009,44,24,23.681,0.667,0.506
76,0.122,0.016,42,25,12.373,0.632,0.447
73,0.124,0.018,50,32,30.264,0.575,0.351
67,0.12,0.017,50,26,36.832,0.582,0.384
46,0.113,0.014,42,25,20.805,0.413,0.099
182,0.159,0.018,122,67,61.077,0.621,0.446
38,0.111,0.01,12,8,7.84,0.789,0.694
75,0.115,0.01,34,19,27.135,0.707,0.6
128,0.141,0.018,80,46,57.835,0.57,0.356
155,0.13,0.016,134,89,94.855,0.406,0.118
49,0.105,0.009,0,0,4.949,1.0,1.0
24,0.099,0.009,18,10,5.268,0.583,0.289
119,0.14,0.018,46,26,23.261,0.756,0.64
100,0.128,0.018,80,55,55.532,0.37,0.051
392,0.237,0.021,274,178,180.791,0.515,0.274
104,0.125,0.011,16,12,15.536,0.885,0.827
29,0.104,0.009,4,3,4.061,0.862,0.78
123,0.127,0.015,50,37,48.31,0.691,0.551
154,0.131,0.011,160,82,86.065,0.474,0.268
23,0.099,0.01,4,2,0.166,0.913,0.871
75,0.119,0.015,50,33,29.602,0.533,0.278
299,0.204,0.025,112,68,192.677,0.776,0.667
102,0.125,0.015,40,28,40.395,0.667,0.51
119,0.13,0.016,88,45,46.281,0.563,0.344
23,0.112,0.008,4,2,2.793,0.913,0.877
155,0.192,0.014,112,63,81.78,0.471,0.205
233,0.19,0.019,170,111,113.304,0.442,0.163
120,0.152,0.018,50,32,36.767,0.733,0.616
33,0.169,0.01,12,6,6.514,0.818,0.76
73,0.15,0.013,52,34,23.95,0.466,0.199
392,0.272,0.025,250,158,155.52,0.551,0.327
34,0.121,0.01,2,2,3.891,0.941,0.91
100,0.167,0.012,42,28,32.715,0.7,0.562
29,0.12,0.009,6,4,2.282,0.862,0.793
25,0.113,0.008,12,10,8.956,0.52,0.219
280,0.194,0.02,208,144,135.702,0.414,0.124
35,0.111,0.011,24,14,13.314,0.6,0.378
242,0.174,0.013,294,155,152.416,0.38,0.093
64,0.118,0.011,42,23,20.587,0.562,0.358
25,0.108,0.01,8,5,3.963,0.76,0.646
68,0.134,0.017,36,19,23.738,0.662,0.493
256,0.171,0.015,136,74,122.889,0.664,0.508
28,0.11,0.01,8,4,7.046,0.857,0.806
86,0.132,0.017,58,28,31.28,0.744,0.615
139,0.155,0.017,66,43,59.381,0.727,0.599
89,0.129,0.014,76,46,41.126,0.427,0.147
169,0.179,0.021,160,101,105.817,0.385,0.076
256,0.202,0.018,234,122,134.521,0.461,0.177
206,0.183,0.021,92,49,124.214,0.733,0.602
110,0.137,0.012,26,15,23.455,0.855,0.785
38,0.113,0.01,4,2,2.538,0.947,0.92
174,0.155,0.019,154,81,70.066,0.5,0.237
58,0.141,0.016,22,14,16.079,0.759,0.655
56,0.131,0.009,14,8,15.257,0.857,0.797
20,0.116,0.01,4,2,3.22,0.9,0.858
118,0.165,0.02,48,29,51.911,0.737,0.627
258,0.197,0.02,120,78,96.483,0.647,0.484
30,0.109,0.009,6,4,4.28,0.8,0.704
76,0.115,0.009,44,25,36.914,0.553,0.296
