seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
16,0.098,0.01,0,0,1.894,1.0,1.0
116,0.127,0.011,28,18,18.669,0.784,0.674
36,0.103,0.009,0,0,3.428,1.0,1.0
192,0.161,0.016,70,45,53.113,0.755,0.638
379,0.212,0.019,338,186,224.893,0.449,0.181
284,0.164,0.014,212,117,150.565,0.475,0.212
12,0.099,0.008,0,0,2.335,1.0,1.0
45,0.104,0.014,22,18,20.919,0.489,0.213
36,0.106,0.009,6,4,4.586,0.889,0.829
213,0.17,0.015,70,52,70.966,0.69,0.535
67,0.129,0.015,16,10,14.568,0.851,0.777
30,0.11,0.009,26,15,8.549,0.533,0.206
105,0.115,0.009,84,43,57.4,0.543,0.227
67,0.12,0.018,36,18,35.234,0.731,0.649
42,0.109,0.014,6,4,3.514,0.905,0.855
17,0.095,0.009,8,6,3.594,0.588,0.289
104,0.12,0.01,76,51,55.029,0.529,0.3
62,0.108,0.009,44,23,39.206,0.565,0.412
26,0.105,0.011,8,4,9.879,0.846,0.793
378,0.206,0.019,276,138,169.695,0.532,0.303
105,0.114,0.011,84,39,46.705,0.629,0.48
31,0.1,0.009,0,0,8.113,1.0,1.0
102,0.126,0.015,28,16,24.529,0.784,0.671
45,0.105,0.013,20,12,15.319,0.733,0.577
151,0.131,0.015,144,74,86.671,0.536,0.287
103,0.121,0.014,102,50,54.337,0.388,0.074
174,0.144,0.012,64,41,49.046,0.77,0.649
38,0.107,0.01,26,14,16.176,0.5,0.248
35,0.1,0.009,24,15,15.665,0.571,0.332
116,0.122,0.01,90,50,59.285,0.44,0.159
63,0.112,0.013,36,24,23.926,0.619,0.376
97,0.154,0.013,86,44,51.504,0.485,0.22
102,0.124,0.014,84,44,66.552,0.676,0.518
101,0.136,0.015,92,54,57.667,0.317,-0.031
80,0.115,0.015,80,45,62.767,0.35,0.012
92,0.13,0.017,88,48,53.44,0.467,0.192
387,0.273,0.024,204,129,129.542,0.664,0.49
36,0.099,0.008,26,19,13.879,0.444,-0.008
111,0.125,0.013,98,56,55.389,0.468,0.208
105,0.129,0.015,38,20,36.035,0.81,0.739
53,0.099,0.008,24,15,16.357,0.66,0.475
400,0.225,0.02,338,211,206.971,0.378,0.068
40,0.101,0.009,12,6,9.922,0.875,0.812
36,0.099,0.008,20,12,13.252,0.667,0.497
282,0.187,0.024,230,141,101.139,0.482,0.22
184,0.148,0.017,184,91,113.124,0.478,0.227
73,0.119,0.014,16,9,16.003,0.863,0.801
380,0.198,0.018,310,183,211.756,0.445,0.185
75,0.115,0.017,48,26,43.387,0.653,0.527
284,0.185,0.02,206,119,116.773,0.461,0.183
101,0.128,0.019,84,48,57.103,0.426,0.142
214,0.174,0.018,214,116,87.584,0.509,0.256
104,0.122,0.018,90,46,49.925,0.606,0.415
355,0.198,0.019,358,178,206.382,0.434,0.148
97,0.109,0.009,86,52,70.919,0.443,0.25
34,0.102,0.009,10,4,8.34,0.882,0.836
400,0.227,0.018,288,187,198.779,0.565,0.354
100,0.116,0.01,84,53,45.682,0.46,0.113
389,0.229,0.019,302,163,169.993,0.509,0.266
358,0.18,0.019,362,197,161.843,0.408,0.115
400,0.224,0.022,326,181,197.062,0.462,0.192
364,0.209,0.015,312,174,198.769,0.484,0.225
