seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
16,19.175,22.641,4,2,2.592,0.875,0.828
116,19.175,22.641,12,6,15.812,0.948,0.924
36,51.3,91.639,4,4,4.852,0.889,0.829
192,51.3,91.639,22,13,26.787,0.927,0.89
379,166.445,231.019,114,65,85.869,0.839,0.755
284,166.252,263.048,68,36,124.944,0.873,0.82
12,166.252,263.048,0,0,0.51,1.0,1.0
258,166.609,280.984,82,47,77.328,0.81,0.715
45,166.609,280.984,0,0,3.872,1.0,1.0
36,24.97,34.936,6,4,6.685,0.889,0.829
213,24.97,34.936,36,19,70.646,0.906,0.866
67,81.454,207.67,8,4,4.099,0.94,0.908
98,81.454,207.67,68,32,52.624,0.694,0.439
30,132.715,373.129,16,4,6.203,0.867,0.787
105,132.715,373.129,84,42,45.584,0.648,0.429
105,85.533,216.971,64,36,46.464,0.695,0.395
67,85.533,216.971,12,6,22.493,0.91,0.871
104,83.446,210.102,24,14,28.827,0.865,0.787
42,83.446,210.102,8,4,3.524,0.905,0.864
105,24.896,40.802,24,12,19.896,0.905,0.861
400,24.896,40.802,76,38,58.371,0.905,
17,23.181,35.59,0,0,2.995,1.0,1.0
104,23.181,35.59,16,8,19.257,0.923,0.886
62,71.099,193.016,16,8,17.812,0.871,0.818
26,71.099,193.016,6,4,5.171,0.846,0.771
57,167.109,231.59,4,2,33.502,0.965,0.947
378,167.109,231.59,96,48,86.779,0.873,0.823
105,34.551,67.897,20,10,20.833,0.905,0.861
31,34.551,67.897,4,2,7.992,0.935,0.907
102,100.294,231.842,12,10,19.927,0.902,0.851
122,100.294,231.842,44,22,36.554,0.82,0.744
45,90.385,237.104,8,4,7.174,0.911,0.866
96,90.385,237.104,44,21,53.283,0.771,0.663
123,181.26,427.34,82,39,56.601,0.659,0.482
151,181.26,427.34,48,24,43.522,0.841,0.777
103,226.191,426.009,50,25,29.974,0.738,0.557
316,226.191,426.009,188,91,125.459,0.706,0.55
174,17.495,22.765,26,16,47.039,0.908,0.861
38,17.495,22.765,4,2,5.97,0.947,0.924
35,133.201,370.982,28,14,22.915,0.714,0.584
116,133.201,370.982,38,21,30.967,0.81,0.725
85,75.53,202.342,14,8,19.375,0.906,0.853
63,75.53,202.342,14,8,22.58,0.873,0.8
63,78.059,198.674,0,0,7.834,1.0,1.0
97,78.059,198.674,24,14,32.111,0.866,0.795
50,128.926,368.243,16,9,16.562,0.86,0.763
102,128.926,368.243,40,20,35.78,0.863,0.791
101,152.425,404.557,28,16,30.1,0.842,0.755
105,152.425,404.557,38,23,44.114,0.752,0.587
337,227.875,422.99,108,62,97.238,0.843,0.767
80,227.875,422.99,44,22,35.576,0.725,0.496
400,168.977,226.126,348,201,235.101,0.492,0.093
92,168.977,226.126,0,0,1.034,1.0,1.0
102,85.08,213.75,38,21,35.138,0.784,0.683
387,85.08,213.75,56,32,147.391,0.912,0.867
36,132.423,376.33,16,10,12.295,0.722,0.476
111,132.423,376.33,34,15,37.744,0.856,0.782
68,36.419,77.307,2,2,22.556,0.971,0.956
105,36.419,77.307,18,10,21.985,0.905,0.854
67,123.32,371.68,30,16,27.191,0.701,0.498
53,123.32,371.68,20,10,11.639,0.811,0.709
400,233.03,414.973,82,42,166.064,0.895,0.846
110,233.03,414.973,60,37,54.181,0.645,0.254
40,67.266,189.206,8,4,7.915,0.925,0.88
36,67.266,189.206,12,6,8.083,0.833,0.775
61,176.069,282.953,12,6,11.625,0.902,0.722
282,176.069,282.953,134,74,87.737,0.766,0.65
200,294.19,536.387,86,49,96.665,0.74,0.625
184,294.19,536.387,64,32,136.808,0.826,0.769
88,83.369,208.336,36,21,26.701,0.75,0.514
73,83.369,208.336,12,6,10.979,0.918,0.884
370,315.756,432.828,182,96,145.4,0.741,0.618
380,315.756,432.828,162,92,214.652,0.732,0.608
75,341.029,347.735,12,7,19.688,0.893,0.798
393,341.029,347.735,372,201,195.038,0.522,0.285
284,212.352,197.305,198,108,104.1,0.563,0.341
101,349.422,253.206,32,16,24.414,0.842,0.716
397,349.422,253.206,142,79,226.576,0.798,0.716
212,188.358,140.125,110,62,80.21,0.689,0.537
214,188.358,140.125,40,20,81.752,0.916,0.874
119,198.669,441.053,62,36,33.71,0.697,0.523
104,198.669,441.053,34,16,22.34,0.846,0.759
389,315.501,438.811,280,159,213.257,0.548,0.317
355,315.501,438.811,324,170,168.614,0.518,0.268
97,78.879,203.26,36,23,23.32,0.794,0.609
34,78.879,203.26,4,4,8.76,0.882,0.816
97,232.24,407.122,36,22,27.679,0.773,0.609
400,232.24,407.122,150,83,110.279,0.778,0.67
392,344.053,285.225,246,138,161.7,0.589,0.364
100,344.053,285.225,76,40,51.77,0.64,0.438
116,325.177,238.161,28,10,30.959,0.914,0.873
389,325.177,238.161,226,127,157.974,0.684,0.526
82,182.072,207.028,24,6,6.189,0.927,0.895
358,182.072,207.028,342,191,161.416,0.475,0.211
400,347.603,316.759,318,176,163.452,0.528,0.295
202,347.603,316.759,124,58,80.425,0.698,0.547
364,402.21,258.305,168,101,158.652,0.72,0.58
